#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
98,,Teruhito Nakagawa,0.81,0.13,0,0.1,0,0.55
99,,Keisuke Osako,0,0,0,0.71,0.04,0.04
100,,Daiki Miya,1.04,1.74,0,4.3,0,0.33
101,,Kakeru Funaki,0.93,1,0,1.36,0,0.21
102,,Park Il-Kyu,0.09,0,0,1.26,0.03,0.06
103,,Ryuki Miura,0.07,0,0,0.89,0.11,0.07
104,,Hiroyuki Mae,1.97,1.26,0,0.97,0.03,0.91
105,,Takumi Kamijima,1.79,2,0.04,4,0.04,0.29
106,,Kei Koizumi,2.2,1.4,0,0.4,0.03,0.9
107,,Taisei Miyashiro,0.68,0.05,0,0.32,0,0.23
108,,Dawhan,1.19,1.22,0,1.74,0,0.74
109,,Hotaru Yamaguchi,1.24,2.03,0,1.21,0,1
110,,Masaya Tashiro,1.24,1.43,0.1,3.62,0,0.29
111,,Takashi Usami,1,0.29,0,0.71,0,0.43
112,,Arthur Caíke,0.79,0.41,0,1.03,0,0.41
113,,Akito Fukuta,1.03,1.15,0,0.97,0.03,0.55
114,,Ronaldo,2.47,1.21,0,0.79,0,0.84
115,,Koji Toriumi,0.79,1.58,0,3.89,0,0.11
116,,Léo Ceará,0.19,0.06,0,0.26,0,0.16
117,,Juanma Delgado,0.39,0.13,0,0.48,0,0.35
118,,Yuki Yamamoto,1.69,1.25,0,0.25,0,0.63
119,,Yuichi Maruyama,1.16,1.56,0,2.76,0,0.28
120,,Yoshinori Suzuki,0.91,1.52,0,3.85,0,0.09
121,,Paulinho Bóia,0.17,0,0,0,0,0
122,,Shunta Tanaka,1.75,1.91,0.03,2.31,0,0.38
123,,Makito Ito,1.48,1.85,0,3.97,0.03,0.3
124,,Yuto Yamada,1.33,0.89,0,0.78,0,0.56
125,,Ataru Esaka,0.7,0.2,0,0.6,0.03,0.63
126,,Hiromu Mitsumaru,2,1.77,0,1.55,0,0.45
127,,Taiyo Koga,1.03,2.03,0,3.41,0,0.28
128,,Daiya Maekawa,0,0.11,0,1.11,0.06,0.06
129,,Kosuke Onose,1.38,0.92,0,0.62,0,0.58
130,,Yugo Tatsuta,0.81,1.19,0.04,4.85,0.04,0.15
131,,Gun-hee Kim,0.25,0.13,0,0.25,0,0.13
132,,Tomoaki Makino,0.63,0.56,0,2.25,0,0.13
133,,Marcos Júnior,0.48,0.13,0,0.09,0,0.43
134,,Yasuhito Endo,0.77,0.77,0,0.65,0,0.77
135,,Kota Watanabe,1.33,1.25,0,0.38,0,0.83
136,,Riku Matsuda,1.55,0.91,0,1.48,0,1.03
137,,Yusuke Maruhashi,1,0.2,0,2.6,0,0.4
138,,Tiago Pagnussat,0.93,2,0,3.5,0,0.14
139,,Nassim Ben Khalifa,1.2,0.36,0,0.4,0,0.44
140,,Satoshi Tanaka,1.94,1.65,0,0.35,0,0.82
141,,Ryota Aoki,0.84,0.58,0,0.45,0,0.52
142,,Peter Utaka,0.14,0.21,0,0.79,0,0.28
143,,Takumu Kawamura,1,0.81,0,0.31,0,0.63
144,,Takuro Kaneko,0.89,0.67,0,0.59,0,0.3
145,,Naoyuki Fujita,0.85,0.62,0,0.88,0,0.5
146,,Jesiel,0.67,1.67,0.08,3.92,0,0.25
147,,Riku Morioka,0.77,2.15,0,1.77,0,0.15
