#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
103,,Ryuki Miura,0,0,0,0,0,0
104,,Hiroyuki Mae,0,0.06,55,0.71,0,0
105,,Takumi Kamijima,0,0.04,0,0.29,0,0
106,,Kei Koizumi,0.03,0,60.98,0.53,0,0
107,,Taisei Miyashiro,0.36,0.23,58.14,1.64,0,0
108,,Dawhan,0.11,0.11,58.82,1.07,0,0
109,,Hotaru Yamaguchi,0.06,0.09,66.67,1.18,0,0
110,,Masaya Tashiro,0.14,0.05,100,0.29,0.1,0
111,,Takashi Usami,0,0,50,1.29,0,0
112,,Arthur Caíke,0.31,0.31,48.72,2.31,0.21,0
113,,Akito Fukuta,0.06,0.06,47.83,0.39,0,0
114,,Ronaldo,0.05,0.05,81.82,0.79,0,0
115,,Koji Toriumi,0,0,0,0.21,0,0
116,,Léo Ceará,0.35,0.29,35.71,1.87,0.06,0
117,,Juanma Delgado,0.13,0.03,48.15,1.35,0.06,0
118,,Yuki Yamamoto,0.06,0,40,0.38,0,0
119,,Yuichi Maruyama,0,0,0,0.2,0,0
120,,Yoshinori Suzuki,0.03,0.03,50,0.27,0,0
121,,Paulinho Bóia,0.17,0.17,71.43,1,0,0
122,,Shunta Tanaka,0.03,0,73.33,0.44,0.03,0
123,,Makito Ito,0.03,0.09,75,0.45,0.03,0
124,,Yuto Yamada,0,0,62.5,0.89,0,0
125,,Ataru Esaka,0.07,0.2,55.17,1.6,0,0
126,,Hiromu Mitsumaru,0.03,0.06,44.83,0.58,0,0
127,,Taiyo Koga,0,0,44.44,0.03,0,0
128,,Daiya Maekawa,0,0,0,0,0,0
129,,Kosuke Onose,0.12,0.12,60,1.31,0,0
130,,Yugo Tatsuta,0,0.04,81.82,0.5,0,0
131,,Gun-hee Kim,0.25,0.13,36.36,1,0.13,0
132,,Tomoaki Makino,0.06,0,100,0.5,0.06,0
133,,Marcos Júnior,0,0.09,66.67,0.96,0,0
134,,Yasuhito Endo,0,0.03,43.75,0.42,0,0
135,,Kota Watanabe,0,0,50,0.5,0,0
136,,Riku Matsuda,0,0,69.23,1,0,0
137,,Yusuke Maruhashi,0,0,0,0.8,0,0
138,,Tiago Pagnussat,0,0,0,0.36,0,0
139,,Nassim Ben Khalifa,0.16,0.16,55.17,1.92,0.08,0
140,,Satoshi Tanaka,0,0.06,63.64,0.35,0,0
141,,Ryota Aoki,0.26,0.23,51.22,1.94,0,0
142,,Peter Utaka,0.31,0.31,50,2.59,0.03,0
143,,Takumu Kawamura,0.19,0.06,20,1.13,0,0
144,,Takuro Kaneko,0.07,0.11,55.56,2,0,0
145,,Naoyuki Fujita,0.08,0,57.14,0.65,0,1.92
146,,Jesiel,0.08,0,100,0.67,0.08,0
147,,Riku Morioka,0,0.15,66.67,0.46,0,0
148,,Kensuke Nagai,0.12,0.24,33.33,1.12,0,0
149,,Koya Yuruki,0.16,0.13,44.71,1.28,0,0
150,,Leandro,0.25,0.2,40,1.95,0,0
151,,Yuji Takahashi,0.03,0,100,0.45,0,0
152,,Yoshio Koizumi,0.11,0.07,60.78,0.81,0,0
153,,Kento Hashimoto,0.11,0.22,66.67,0.78,0,0
154,,Leo Silva,0.03,0,76.92,0.67,0,0
155,,Takashi Inui,0.27,0.07,47.06,1.6,0,0
156,,Kasper Junker,0.33,0.38,40,2,0,0
157,,Yuito Suzuki,0.15,0.2,36.73,1.7,0,0
158,,Genki Omae,0.15,0,83.33,0.54,0.08,0
159,,Ryo Hatsuse,0.06,0,75,0.59,0,0
160,,Hiroki Ilkura,0,0,100,0,0,0
161,,Carlinhos Junior,0.14,0.27,44.12,1.68,0.05,0
162,,Takuma Ominami,0.08,0.04,43.48,0.54,0,0
163,,Tsukasa Shiotani,0,0.15,56.52,1,0,0
164,,Yu Kobayashi,0.17,0.1,33.33,1.37,0,0
165,,Yuki Kobayashi,0,0,60,0.13,0,0
166,,Shusaku Nishikawa,0,0,100,0,0,0
167,,Yuki Muto,0.37,0.26,33.33,2.16,0.16,0
168,,Takuya Shigehiro,0.09,0.18,60,0.45,0,0
