#,Team,Name,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box
104,,Koffi Kouao,0,0.42,0,0,0.55,0.21
105,,Tom Ducrocq,0,0.28,0,0,0.91,0.16
106,,Skelly Alvero,0,0.16,0,0,0.81,0.03
107,,Alex Gersbach,0,0.53,0,0,0.65,0.12
108,,Jean Louchet,4.4,0,0.6,0.2,2,0.2
109,,Maël Durand de Gevigney,0,0.16,0,0,1.39,0.26
110,,Valentin Jacob,0,0,0,0,0.57,0.17
111,,Nicolas Lemaitre,2.97,0.42,0.13,0,0.94,0.1
112,,Jérémy Gélin,0,0.21,0,0,1.03,0.07
113,,Hianga'a M'Bock,0,0.13,0,0,0.71,0.21
114,,Pape Djibril Diaw,0,0,0,0,0.67,0.17
115,,Pablo Pagis,0,0.03,0,0,0.94,0.25
116,,Kevin Mouanga,0,0.27,0,0,1.27,0.07
117,,Bilal Brahimi,0,0.06,0,0,0.61,0.11
118,,William Mikelbrencis,0,0.2,0,0,1,0
119,,Sékou Sanogo,0,0,0,0,0.4,0
120,,Quentin Cornette,0,0.03,0,0,0.23,0.03
121,,Arthur Desmas,1.74,0.55,0.03,0,0.48,0.03
122,,Jacques Ekomie,0,0.29,0,0,0.14,0
123,,Noah Diliberto,0,0.03,0,0,0.74,0.1
124,,Mathieu Debuchy,0,0.21,0,0,0.96,0.17
125,,Danylo Ignatenko,0,0.18,0,0,0.44,0.18
126,,Syam Ben Youssef,0,0.33,0,0,1,0.11
127,,Franck Kanouté,0,0.13,0,0,0.63,0.07
128,,Christophe Diedhiou,0,0.09,0,0,1.36,0
129,,Baptiste Guillaume,0,0.12,0,0,0.68,0.12
130,,Alexandre Oukidja,2.15,0.47,0.06,0,0.5,0.12
131,,Florent Hanin,0,0.24,0,0,0.8,0.08
132,,Papiss Demba Cissé,0,0,0,0,0.87,0.07
133,,Junior Mwanga,0,0.27,0,0,0.39,0.18
134,,Tolu Arokodare,0,0.1,0,0,0.75,0.1
135,,Baptiste Roux,0,0.22,0,0,1.07,0.22
136,,Ibrahim Sissoko,0,0.06,0,0,0.74,0.03
137,,Xavier Kouassi,0,0.25,0,0,1.22,0.17
138,,Rudy Boulais,4,0,0,0,1,0
139,,Yvan Neyou,0,0,0,0,1.5,0
140,,Lamine Sy,0,0,0,0,1,0
141,,Nathan Falconnier,0,0,0,0,0,0
142,,Boubacar Traoré,0,0.33,0,0,1.33,0
143,,Zakaria Diallo,0,0,0,0,0.5,0
144,,Maxime Sivis,0,0.23,0,0,0.86,0.14
145,,Kevin Van Den Kerkhof,0,0.26,0,0,0.95,0.16
146,,Anton Saletros,0,0.07,0,0,0.67,0.27
147,,Marvin Baudry,0,0.2,0,0,0.97,0.3
148,,Lionel M'Pasi,2.5,0.23,0.12,0.04,0.88,0.12
149,,Malik Tchokounté,0,0,0,0,0.82,0.24
150,,Jens Jakob Thomasen,0,0.22,0,0,0.74,0.13
151,,Antoine Leautey,0,0.14,0,0,1.06,0.08
152,,Mamady Bangré,0,0,0,0,0.62,0.11
153,,Lucas Dias,2.86,0.14,0.29,0,1.43,0
154,,Dennis Appiah,0,0.32,0,0,0.95,0.16
155,,Mamadou Fofana,0,0.06,0,0,0.86,0.06
156,,Serge-Philippe Raux-Yao,0,0.23,0,0,1,0.13
157,,Djibril Diani,0,0.14,0,0,0.64,0.14
158,,Khalid Boutaïb,0,0,0,0,0.87,0.07
159,,Johaneko Louis Jean,0,0.25,0,0,0.38,0
160,,Leo Petrot,0,0.21,0,0,1.07,0.21
