#,Team,Name,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past
100,,Lassana Diabate,0,0,0,1,0,0
101,,Remy Boissier,1.03,1.1,0,1.1,0,0.94
102,,Ibrahim Cissé,0.97,1.42,0.03,3,0,0.1
103,,Bryan Passi,1.21,1.16,0.05,4.53,0,0.21
104,,Koffi Kouao,2.06,1.27,0.03,1.82,0,0.79
105,,Tom Ducrocq,3.63,1.88,0,1.16,0,1.06
106,,Skelly Alvero,2.06,0.97,0.03,0.81,0,0.97
107,,Alex Gersbach,1.71,1.65,0.06,1.29,0,0.71
108,,Jean Louchet,0,0,0,1.8,0,0
109,,Maël Durand de Gevigney,1.39,2,0,4.55,0.06,0.42
110,,Valentin Jacob,1.78,0.65,0,0.3,0,0.87
111,,Nicolas Lemaitre,0.06,0.03,0.06,1.03,0.03,0.06
112,,Jérémy Gélin,1.97,1.24,0,0.34,0,1.41
113,,Hianga'a M'Bock,2.46,0.67,0,1,0,1.04
114,,Pape Djibril Diaw,0.92,0.83,0,1.25,0.08,0.17
115,,Pablo Pagis,1.44,0.78,0,0.53,0,0.66
116,,Kevin Mouanga,1.27,1.77,0,3.7,0.03,0.53
117,,Bilal Brahimi,0.94,0.33,0,0.19,0,0.53
118,,William Mikelbrencis,1.6,1,0,1.2,0,1
119,,Sékou Sanogo,1.8,0.8,0,0.4,0,0.8
120,,Quentin Cornette,1.16,0.48,0,0.03,0,1.06
121,,Arthur Desmas,0,0,0.03,0.42,0.03,0
122,,Jacques Ekomie,1.86,0.57,0,1.14,0,0.29
123,,Noah Diliberto,1.87,0.77,0,0.71,0,0.77
124,,Mathieu Debuchy,1.04,1.46,0,4.67,0.04,0.21
125,,Danylo Ignatenko,1.62,1,0,1.26,0,1.15
126,,Syam Ben Youssef,1.81,1.81,0.04,3.41,0.04,0.3
127,,Franck Kanouté,2.2,1.1,0.03,0.6,0,1.13
128,,Christophe Diedhiou,0.91,1.27,0,4.64,0,0.55
129,,Baptiste Guillaume,0.41,0.15,0,0.91,0,0.74
130,,Alexandre Oukidja,0,0.03,0.03,0.91,0.03,0
131,,Florent Hanin,1.04,0.92,0,1.44,0,0.68
132,,Papiss Demba Cissé,0.47,0.17,0,0.77,0,0.3
133,,Junior Mwanga,1.76,0.79,0,1.03,0,0.58
134,,Tolu Arokodare,0.4,0.4,0,1.45,0,0.2
135,,Baptiste Roux,2.19,1.26,0,2.11,0,0.63
136,,Ibrahim Sissoko,0.26,0,0,0.34,0,0.26
137,,Xavier Kouassi,1.58,1.42,0.06,3.97,0.06,0.28
138,,Rudy Boulais,0,0,0,0,0,0
139,,Yvan Neyou,2.5,2,0,0.5,0,1
140,,Lamine Sy,2.5,2.5,0,1,0,0.5
141,,Nathan Falconnier,2,0.5,0,1.5,0,0.5
142,,Boubacar Traoré,3,1.67,0,1.67,0,0.67
143,,Zakaria Diallo,0.25,0.5,0,1,0,0
144,,Maxime Sivis,2.27,1.27,0.05,1.59,0,0.86
145,,Kevin Van Den Kerkhof,1.74,0.71,0,1.13,0,0.37
146,,Anton Saletros,0.67,0.87,0,0.6,0,1.67
147,,Marvin Baudry,1.43,1.37,0,2.3,0,0.27
148,,Lionel M'Pasi,0,0,0.08,0.88,0,0.04
149,,Malik Tchokounté,0.53,0.11,0.03,0.68,0,0.21
150,,Jens Jakob Thomasen,2.09,1.04,0,0.22,0.04,1.13
151,,Antoine Leautey,1.33,0.56,0,0.39,0,0.86
152,,Mamady Bangré,1.03,0.35,0,0.03,0,0.59
153,,Lucas Dias,0,0,0,0.71,0,0
154,,Dennis Appiah,3,1.21,0.05,1.79,0,1.32
155,,Mamadou Fofana,2.19,0.83,0,0.33,0,1.44
156,,Serge-Philippe Raux-Yao,1.7,1.6,0,3.13,0,0.43
157,,Djibril Diani,2.11,1.39,0,0.96,0,1.07
158,,Khalid Boutaïb,1.33,0.27,0,1,0,1
159,,Johaneko Louis Jean,1.63,1,0,0.38,0,0.25
160,,Leo Petrot,2.21,1.14,0,2.45,0,0.83
161,,Cheick Tidiane Sabaly,1.75,0.61,0,0.36,0,1.43
162,,Didier N'Dong,1.75,1.21,0.04,1.57,0,0.71
163,,Garland Gbelle,1.22,0.62,0,0.59,0,0.78
164,,Benoît Poulain,0.6,1.3,0.15,4.2,0,0.25
165,,Zargo Touré,1.19,1.35,0.03,2.61,0,0.45
166,,Ismaël Traoré,0.9,1.43,0,2.7,0,0.4
167,,Ousmane Kanté,1.5,1.17,0,3.33,0,0.42
168,,Gaëtan Charbonnier,0,0,0,0.86,0,0.43
169,,Allan Tchaptchet,0.83,0.96,0.04,3.17,0,0.58
170,,Killian Corredor,0.49,0.3,0,0.54,0,0.41
171,,Eddy Sylvestre,1.32,0.5,0,0.32,0,0.35
172,,Issa Soumaré,0.89,0.71,0.03,0.58,0,0.82
173,,Senou Coulibaly,1.63,1.04,0,2.67,0,0.33
174,,Loup Gueho,0.57,1.43,0,0.86,0,0.43
175,,Brahim Traoré,1,1,0,2,0,0
176,,Plamedi Buni Jorge,2,1,0,0.33,0,1
177,,Aymen Abdennour,0.57,0.86,0,2.57,0,0.29
178,,Saïdou Sow,1.96,2,0.12,3.32,0,0.56
179,,Enzo Basilio,0.03,0.03,0,0.22,0,0.08
180,,Julien López,0.55,0.19,0,0.1,0,0.55
181,,Florian Escales,0.09,0.06,0.06,0.82,0.12,0.03
182,,Jean Ruiz,1.58,1.06,0,3.53,0,0.44
183,,Jason Berthomier,1.3,0.4,0,0.15,0,1.25
184,,Kalidou Sidibé,1.13,0.94,0.03,1,0,0.25
185,,Dilane Bakwa,1.2,0.66,0,0.4,0,0.89
186,,Louis Mafouta,0.15,0.09,0,0.21,0,0.18
187,,Quentin Lecoeuche,1.39,1.29,0,2.35,0,0.68
188,,Clément Depres,0.26,0.09,0,0.65,0,0.26
189,,Lorenzo Rajot,1.33,0.55,0,0.55,0,0.82
190,,Dion Moise Sahi,0.42,0.08,0,0.11,0,0.28
191,,Jules Gaudin,2.03,1.24,0,0.97,0,1.34
192,,Fransérgio,1.2,0.54,0,0.91,0,1.11
193,,Hugo Vandermersch,1.91,1.24,0,1.32,0,0.71
