#,Team,Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %
103,,Bryan Passi,0.05,0,42.86,0.42,0.05,0
104,,Koffi Kouao,0.03,0,57.89,0.45,0,0
105,,Tom Ducrocq,0.03,0,50,0.31,0,0
106,,Skelly Alvero,0.06,0,82.98,0.55,0.06,0
107,,Alex Gersbach,0,0.06,55.56,0.18,0,0
108,,Jean Louchet,0,0,0,0,0,0
109,,Maël Durand de Gevigney,0,0,66.67,0.39,0,0
110,,Valentin Jacob,0.04,0,36.84,1.22,0,0
111,,Nicolas Lemaitre,0,0,0,0,0,0
112,,Jérémy Gélin,0,0,32.14,0.76,0,0
113,,Hianga'a M'Bock,0.04,0,76.47,1.46,0,0
114,,Pape Djibril Diaw,0.25,0,100,0.5,0.25,0
115,,Pablo Pagis,0.16,0.19,42.62,2.03,0,0
116,,Kevin Mouanga,0.1,0,76.19,0.4,0.1,0
117,,Bilal Brahimi,0.08,0.03,50,0.94,0,0
118,,William Mikelbrencis,0.2,0,55.56,0.8,0,0
119,,Sékou Sanogo,0,0,100,0,0,0
120,,Quentin Cornette,0.19,0.1,45.1,1.77,0,0
121,,Arthur Desmas,0,0,100,0,0,0
122,,Jacques Ekomie,0,0,42.86,0.29,0,0
123,,Noah Diliberto,0.1,0.1,50,0.65,0.03,0
124,,Mathieu Debuchy,0.04,0.04,44.44,0.54,0.04,0
125,,Danylo Ignatenko,0.06,0.03,58.33,1.21,0.03,0
126,,Syam Ben Youssef,0.04,0.07,77.78,0.19,0.04,0
127,,Franck Kanouté,0.03,0,67.5,0.83,0,0
128,,Christophe Diedhiou,0.18,0,100,0.36,0.09,0
129,,Baptiste Guillaume,0.21,0.15,35.29,1.12,0.09,0
130,,Alexandre Oukidja,0,0,50,0,0,0
131,,Florent Hanin,0,0.04,66.67,0.28,0,0
132,,Papiss Demba Cissé,0.33,0.17,58.82,1.47,0.07,0
133,,Junior Mwanga,0,0.03,65.63,0.42,0,0
134,,Tolu Arokodare,0.3,0.45,38.46,3.55,0.05,0
135,,Baptiste Roux,0,0.04,77.78,0.56,0,0
136,,Ibrahim Sissoko,0.37,0.49,53.85,2.71,0.09,0
137,,Xavier Kouassi,0,0,80,0.03,0,0
