#,Team,Name,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %
93,,Marvin Senaya,0.18,0.06,25.94,74.18,4.85,37.37
94,,Aymen Boutoutaou,0.13,0.13,23.23,69.44,5.83,55
95,,Daniel Congré,0.04,0.04,59.04,88.46,2.7,61.05
96,,Fali Candé,0.03,0,54.61,84.1,3.97,51.7
97,,Balthazar Pierret,0.07,0.03,44.66,83.4,5.83,63.98
98,,Gaëtan Courtet,0.06,0.03,14.77,62.48,3.34,56.52
99,,Niclas Eliasson,0,0,7.5,60,2.5,0
100,,Lassana Diabate,0,0,33.5,67.54,0.75,31.75
101,,Remy Boissier,0.23,0.1,33.71,81.05,5.71,55.86
102,,Ibrahim Cissé,0,0,54.23,88.88,3.58,55.5
103,,Bryan Passi,0,0,45.47,83.56,2.32,53.89
104,,Koffi Kouao,0.12,0.03,43,82.24,6.73,42.05
105,,Tom Ducrocq,0.03,0.03,35.34,76.39,5.66,43.17
106,,Skelly Alvero,0.13,0,26.81,82.07,3.52,70.91
107,,Alex Gersbach,0.18,0.06,33.94,73.31,4.18,32.81
108,,Jean Louchet,0,0,39.6,60.1,1.4,42.11
109,,Maël Durand de Gevigney,0.03,0,56.48,84.35,2.87,52.59
110,,Valentin Jacob,0.26,0.13,25.04,72.57,6.13,61.7
111,,Nicolas Lemaitre,0,0,25.19,68.37,0.58,46.94
112,,Jérémy Gélin,0.14,0.03,58.52,81.03,14.38,63.88
113,,Hianga'a M'Bock,0.04,0.04,37.04,85.15,6.54,65.06
114,,Pape Djibril Diaw,0,0,23.5,83.69,1.92,53.57
115,,Pablo Pagis,0.09,0.09,26.47,74.26,6.84,46.49
116,,Kevin Mouanga,0.03,0,35.23,79.28,1.63,48.09
117,,Bilal Brahimi,0.11,0.03,29.97,83.41,9.61,57.35
118,,William Mikelbrencis,0,0,39,81.54,7.8,48.39
119,,Sékou Sanogo,0,0,45.8,92.58,4,80
120,,Quentin Cornette,0.16,0.06,17.32,76.54,4.87,45.16
121,,Arthur Desmas,0,0,20.84,70.43,0.48,38.76
122,,Jacques Ekomie,0.14,0,29,82.27,4.57,50
123,,Noah Diliberto,0.23,0.1,26.13,81.73,4.68,51.39
124,,Mathieu Debuchy,0.04,0,38.42,81.13,1.83,42.61
125,,Danylo Ignatenko,0,0.03,40.94,82.4,5.65,67.8
126,,Syam Ben Youssef,0,0.04,46.33,75.62,2.89,45.45
127,,Franck Kanouté,0.03,0.03,37.87,86.62,4.47,68.99
128,,Christophe Diedhiou,0,0.09,36.18,83.17,0.64,40
129,,Baptiste Guillaume,0.09,0.12,17.47,66.33,5.18,63.64
