#,Team,Name
1,,Julien Maggiotti
2,,Felix Tomi
3,,Moustapha Name
4,,Henri Saivet
5,,Jérémy Livolant
6,,Moussa Doumbia
7,,Youssef Maziz
8,,Niels Nkounkou
9,,Gaetan Weissbeck
10,,Sébastien Salles-Lamonge
11,,Victor Lekhal
12,,Antonin Bobichon
13,,Mohamed Kaba
14,,Bilal Boutobba
15,,Jessy Benet
16,,Habib Maïga
17,,Tony Mauricio
18,,Ablie Jallow
19,,Jessy Deminguet
20,,Thomas Monconduit
21,,Dylan Chambost
22,,Gustavo Sangaré
23,,Mathieu Cafaro
24,,Marvin Senaya
25,,Aymen Boutoutaou
26,,Balthazar Pierret
27,,Niclas Eliasson
28,,Remy Boissier
29,,Tom Ducrocq
30,,Skelly Alvero
31,,Alex Gersbach
32,,Valentin Jacob
33,,Jérémy Gélin
34,,Hianga'a M'Bock
35,,Pablo Pagis
36,,Bilal Brahimi
37,,Sékou Sanogo
38,,Noah Diliberto
39,,Danylo Ignatenko
40,,Franck Kanouté
41,,Junior Mwanga
42,,Baptiste Roux
43,,Yvan Neyou
44,,Boubacar Traoré
45,,Kevin Van Den Kerkhof
46,,Anton Saletros
47,,Jens Jakob Thomasen
48,,Antoine Leautey
49,,Mamady Bangré
50,,Mamadou Fofana
51,,Djibril Diani
52,,Cheick Tidiane Sabaly
53,,Didier N'Dong
54,,Garland Gbelle
55,,Eddy Sylvestre
56,,Issa Soumaré
57,,Brahim Traoré
58,,Plamedi Buni Jorge
59,,Jason Berthomier
60,,Kalidou Sidibé
61,,Lorenzo Rajot
62,,Fransérgio
63,,Steeve Beusnard
64,,Danley Jean Jacques
65,,Ahmed Kashi
66,,Franck Bambock
67,,Tristan Muyumba
68,,Sam Sanna
69,,Rafiki Saïd
70,,Victor Lobry
71,,Dylan Louiserre
72,,Joseph Lopy
73,,Mehdi Merghem
74,,Lucas Deaux
75,,Lamine Fomba
76,,Maxime Do Couto
77,,Nicolas Delpech
78,,Nassim Chadli
79,,Malcolm Viltard
