Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Richard Schunke,0,0.07,66.67,0.5,0,0,0.86,1.14,0,3.21,0,0.29,0.36,0.21,64.07,85.84,6.43,58.23,0,0.36,0,0,0.79,0,0.21,0,50,55.74,0.64,0.71,14,3,2
Benjamin Cardenas,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,18,48.15,0.67,35.71,4.33,0.33,0,0,0.67,0.33,0,0.33,0,0,0,0.33,3,1,1
Ricardo Adé,0,0,83.33,0.61,0,0,1.11,1.29,0.11,3.29,0,0.29,0.07,0.11,44.07,86.14,2.82,52.97,0,0.5,0,0,0.5,0.07,0.32,0,67.86,64.15,0.32,0.68,28,3,2
Bruno Duarte,0.07,0,100,0.79,0.07,0,1.07,2.86,0,5,0,0.07,0.07,0.07,32.14,76.22,1.07,41.05,0,0.29,0,0,1.07,0.43,0.36,0,75,67.74,0.36,1,14,2,2
Ismael Díaz,0.4,0.5,59.21,2.85,0.05,0,0.45,0.4,0,0.15,0,0.25,0.05,0.05,24.25,86.8,8.9,68.42,0,0.2,0,0,0.85,0.1,0.05,0,53.85,50.32,0.9,0.75,20,2,4
Agustín García Basso,0.07,0,70,0.52,0,1.23,0.67,0.74,0.04,1.52,0,0.15,0,0,70.52,89.65,11.11,69.49,0,0.37,0,0,0.81,0.07,0.11,0,57.5,53.92,0.26,0.7,27,3,2
Byron Palacios,0.27,0.15,67.57,1.62,0.04,0,0.27,0.19,0,0.31,0,0.04,0.23,0.15,12.69,60,4.38,25,0,0,0,0,0.77,0.08,0.15,0,46.85,48.26,1.04,1.12,26,2,4
Miller Bolaños,0.53,0.4,33.33,2.27,0,0,0.47,0.2,0,0.13,0,0.2,0.27,0.27,24.8,84.41,10.8,79.17,0,0.27,0,0,0.6,0.13,0.6,0,20,40.23,1.53,1.33,15,3,4
Nicolás Rinaldi,0.04,0.04,35.29,1.07,0.04,0,1.96,1,0,0.93,0,1,0.15,0.07,31.93,85.85,6.56,71.7,0,0.15,0,0,0.56,0.19,0.33,0,52.38,53.88,1.78,1.74,27,2,3
Andrés Parrales,0.62,0.15,41.18,2.38,0.15,0.77,0.27,0.04,0.04,0.77,0,0.5,0.04,0,17.54,81.58,4.31,57.14,0,0.04,0,0,1.15,0.12,0.31,0,42.31,44.89,1.65,1.15,26,2,4
Anthony Landázuri,0.04,0,66.67,0.78,0.04,0,0.96,0.91,0,1.48,0,0.22,0.26,0.17,52.83,83.37,11.96,53.04,0,0.39,0,0,0.65,0.04,0.17,0.04,58.33,50.77,0.96,1.43,23,2,2
Francisco Fydriszewski,0.44,0.07,61.54,2.3,0.04,0,0.56,0.26,0,0.3,0,0.26,0.11,0.11,15.48,66.51,4,26.32,0,0.04,0,0,0.89,0.07,0.3,0.04,46.55,41.98,0.93,1.78,27,2,4
Renato Ibarra,0.12,0.04,50,1.85,0.04,0,0.88,0.19,0,0.19,0,0.35,0.12,0.15,22.81,82.29,9.31,57.14,0,0,0,0,0.38,0.04,0.08,0,41.67,56.67,1.65,0.54,26,3,3
Jaime Ayoví,0.36,0.07,36.84,2.29,0,0,0.29,0.07,0,1.43,0,0.21,0.21,0,13.71,64.58,3.43,66.67,0,0.29,0,0,0.5,0,0.29,0,37.93,32.59,0.79,1.21,14,3,4
Alexis Zapata,0.22,0,57.89,1.33,0,5.56,0.56,0.33,0,0.22,0,0.22,0,0,26.44,81.93,7.33,70.59,0,0,0,0,0.67,0,0,0,44.44,56.34,2.22,0.89,9,2,3
Facundo Castelli,0.33,0.25,20,3,0.08,0,0.92,0.08,0,0.92,0,0.25,0,0.08,17.92,60.93,4.67,50,0,0.25,0,0,0.5,0.25,0.58,0.08,41.79,44.44,2.5,2.5,12,2,4
José Cevallos,0.12,0.16,63.64,1.24,0,0,0.88,0.36,0,0.72,0,0.44,0.16,0.12,35.24,85.02,9.04,68.82,0,0.04,0,0,0.68,0.16,0.16,0.04,50,50.54,0.52,0.64,25,2,3
Yeltzin Erique,0,0,0,0,0,0,0,0,0,6,0,0,0,0,75,93.33,4,71.43,0,0,0,0,1,0,0,0,0,66.67,2,0,1,1,2
Diogo Bagui,0,0,0,0,0,0,1,0,0,9,0,0,0,0,14,100,0,100,0,0,0,0,1,0,0,0,0,100,0,0,1,1,2
Richard Borja,0,0,100,0.5,0,0,1,0,0,0,0,0.5,0,0,5.5,63.64,1,100,0,0,0,0,0,0,0,0,50,70,1.5,0,2,1,4
