Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Andrea Masiello,0,0,80,0.23,0,0,1.16,1.42,0.06,4.48,0,0.19,0,0.03,33.71,83.64,2.42,55.41,0,0.42,0,0,0.55,0.16,0.26,0,53.85,59.12,0.48,0.74,31,3,2
Gianluca Lapadula,0.58,0.44,44,2.78,0.19,0,0.47,0.06,0,0.5,0,0.25,0.06,0.11,11.03,68.26,3.39,50,0,0.25,0,0,0.69,0.06,0.11,0.03,44.3,42.32,1.44,1.97,36,3,4
Nicola Falasco,0,0,48.48,0.56,0,0,0.85,0.7,0,1.26,0,0.48,0.26,0.07,34,68.19,6.7,42.61,0,0.22,0,0,0.7,0.04,0.3,0.07,50,53.37,1.59,1.11,27,2,2
Alessandro Livieri,0,0,100,0,0,0,0,0,0,1,0.09,0,0,0,26.55,72.6,0.91,53.05,2.64,0.55,0,0,0.45,0.18,0.09,0,100,100,0.18,0,11,2,1
Alberto Cerri,0.26,0.29,60.34,2.79,0.09,0,0.32,0.21,0,1.18,0,0.21,0.18,0.09,19.15,56.53,3.94,50.88,0,0.06,0,0,0.71,0.15,0.24,0,55.25,49.72,2.24,2.74,34,2,4
Daniel Boloca,0.06,0.03,76.32,1.13,0,0,1.87,1.06,0,0.81,0,0.77,0,0,51.94,89.5,12,77.4,0,0.42,0,0,0.58,0.16,0.39,0,38.3,51.84,0.23,1.39,31,2,3
Albert Guðmundsson,0.31,0.11,58.82,1.78,0,0,0.53,0.39,0,0.08,0,0.94,0.14,0.11,27.44,82.69,11.28,55.56,0,0.19,0,0,0.53,0.11,0.11,0.03,23.53,43.8,1.72,1.17,36,2,4
Giorgio Cittadini,0,0.06,72.73,0.39,0,0,2.44,2.61,0,4.56,0,0.83,0,0,34.72,81.28,2.06,45.88,0,0.17,0,0,1,0.22,0.56,0,69.41,63.98,0.89,1.44,18,1,2
Federico Viviani,0,0,66.67,1.67,0,0,1.4,1.33,0,0.73,0,0.33,0,0,35.73,83.77,6.67,70.65,0,0,0,0,0.87,0.2,0.2,0,54.55,62.64,1.27,0.93,15,3,3
Andrea Carboni,0.19,0.06,72.73,0.75,0.13,0,2.56,1.31,0,3.31,0,0.69,0.06,0.06,48.69,77.02,6.94,36.59,0,0.19,0,0,0.94,0.13,0.25,0,54.35,60,0.63,1,16,1,2
Boris Radunović,0,0,0,0,0,0,0,0.05,0.03,0.71,0,0,0,0,23.74,69.96,1.34,47.52,2.71,0.37,0.24,0.03,0.84,0.05,0.03,0,90,87.5,0.13,0.03,38,2,1
Enrico Baldini,0.33,0.17,28.57,2.83,0,0,0.33,0.33,0,0.17,0,0.17,0.17,0,18.17,72.48,6.17,80,0,0.17,0,0,0.67,0,0,0,33.33,37.14,1.17,0.5,6,2,4
Giorgio Altare,0.04,0.04,0,0.81,0.04,0,1.38,1.31,0,3.46,0.04,0.15,0.04,0,48.12,79.7,4.23,53.36,0,0.31,0,0,0.77,0,0.19,0.04,61.06,59.28,0.38,1.12,26,2,2
Mattia Bani,0.06,0.15,28.57,1,0.03,0,1.03,1.36,0,2.97,0,0.24,0.03,0.06,53.64,83.39,4.91,48.52,0,0.39,0,0,0.42,0.03,0.18,0.06,64.97,62.2,0.94,1.09,33,2,2
Marko Pajač,0,0,50,0.6,0,0,1.6,0.8,0,1.4,0,0.5,0.1,0,38.4,76.56,9,45.31,0,0.4,0,0,0.4,0.1,0.3,0,0,59.62,1.2,1,10,2,2
Frederik Sørensen,0.03,0.09,80,0.47,0.03,0,1.5,1.85,0,5.65,0,0.41,0.06,0,36.82,76.44,2.59,47.69,0,0.35,0,0,0.94,0.18,0.15,0.03,54.86,55.63,0.5,1.06,34,3,2
Camillo Ciano,0.26,0,31.82,1.47,0.05,0,1.21,0.21,0,0.26,0,0.58,0.21,0.16,17.16,66.87,7.16,33.33,0,0,0,0,0.89,0.11,0.11,0,32.5,43.14,1.21,1.05,19,3,4
Gennaro Acampora,0.14,0.03,79.66,1.41,0,0,1.9,0.66,0,0.55,0,0.93,0.03,0.03,30.52,79.32,8.03,58.39,0,0.03,0,0,0.69,0.1,0.31,0.03,46,56.55,2.24,1.59,29,2,3
Josep Martínez,0,0,100,0,0,0,0,0,0,0.87,0,0.03,0.03,0,31.8,77.04,0.8,44.18,2.07,0.57,0.07,0,0.57,0.17,0.1,0,100,90,0.2,0.03,30,2,1
Michael Folorunsho,0.3,0,42.11,2.33,0.04,1.23,1.52,0.63,0.04,1.11,0.04,0.59,0.15,0.04,25.41,71.43,6.15,55.07,0,0.15,0,0,0.59,0.19,0.3,0,56.57,55.62,2.48,1.15,27,2,3
Nicola Valente,0.09,0.06,47.62,1,0,0,0.66,0.34,0,0.41,0,0.38,0.22,0.19,14.25,76.97,4.34,31.58,0,0,0,0,0.72,0.16,0.06,0.03,48.15,53.26,1.41,0.69,32,3,3
Francesco Vicari,0,0,0,0.15,0,0,0.7,0.7,0,4.15,0,0.3,0,0,49.18,88.29,1.36,67.46,0,0.36,0,0,0.61,0.21,0.15,0,66.4,60.61,0.45,0.7,33,2,2
Alfred Gomis,0,0,0,0,0,0,0,0,0.06,0.76,0.06,0.06,0,0,25.18,68.93,0.88,48.05,2.71,0.35,0.12,0.06,0.82,0.18,0,0,100,75,0.18,0.06,17,2,1
Radu Drăguşin,0.11,0.05,0,0.5,0.11,0,0.92,1.26,0.03,3.03,0,0.26,0,0,51.32,84.15,2.79,40.1,0,0.5,0,0,0.61,0.13,0.08,0,65.94,62.36,1.18,0.97,38,1,2
Rubén Botta,0.08,0.04,46.38,1.04,0,0,1.28,0.12,0,0.08,0,0.64,0.2,0.12,30.08,81.65,10.84,61.43,0,0.04,0,0,0.4,0.16,0.16,0,35.71,46.94,0.92,0.84,25,3,3
Gregorio Morachioli,0.11,0,61.11,0.67,0,0,1,0.22,0,0,0,0.44,0.33,0.33,20.11,80.66,7,25,0,0,0,0,0.11,0,0,0,40,54.55,0.89,0.44,9,1,4
Nicolas Viola,0.06,0,55.56,1.06,0,0,0.63,0.69,0,0.56,0,0.31,0.19,0,32.88,80.8,7.56,60.42,0,0,0,0,0.56,0,0.06,0,45,48.86,0.88,1.06,16,3,3
Luis Binks,0,0.09,100,0.58,0,0,1.27,1.24,0.03,4.36,0,0.15,0.03,0.03,43.12,76.67,4.73,48.85,0,0.24,0,0,0.88,0.27,0.12,0.03,56.56,61.11,0.48,0.76,33,1,2
Filippo Palazzino,0,0,66.67,2,0,0,0,0,0,0,0,0,0,0,15,80,6,0,0,0,0,0,1,0,0,0,50,60,0,0,1,1,4
Andrea Seculin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,52.63,0,28,4,0,0,0,0,1,1,0,0,0,0,0,1,3,1
Nicola Leali,0,0,0,0,0,0,0.08,0.04,0.04,0.68,0.12,0.04,0,0,28.2,62.7,1.36,41.89,2.76,0.24,0.32,0.16,1.16,0.04,0.12,0,100,71.43,0.04,0.04,25,2,1
Raphael Odogwu,0.24,0.19,54,1.89,0.11,0,0.22,0.14,0,0.59,0,0.11,0.05,0.08,15.7,63.34,4.86,71.43,0,0.19,0,0,0.54,0.14,0.05,0,51.1,49.82,2.19,1.62,37,3,4
Francesco Di Tacchio,0.03,0,81.25,0.8,0,0,2.11,1.71,0.06,1.71,0,0.69,0,0,40.51,79.27,6.74,48.19,0,0.34,0,0,0.86,0.23,0.31,0,57.89,63.91,2.31,1.34,35,3,3
Valerio Mantovani,0.03,0.03,42.86,0.47,0.03,0,0.87,1.53,0,2.97,0,0.23,0.07,0.03,40.43,77.82,3.53,42.44,0,0.37,0,0,0.9,0.13,0.17,0,54.81,57.63,1.1,0.87,30,2,2
Massimo Coda,0.32,0.29,36.17,2.94,0,0,0.06,0.03,0,0.19,0,0.29,0.32,0.19,18.16,66.25,7.45,47.73,0,0.13,0,0,0.48,0.06,0.1,0,37.98,30.74,0.35,0.55,31,3,4
Riccardo Capellini,0.05,0,33.33,0.16,0,0,1.42,1.42,0.05,3.53,0,0.11,0,0,43.68,84.1,2.47,57.48,0,0.26,0,0,0.89,0.16,0.11,0,68.75,69.52,1.21,0.89,19,1,2
Andrea Favilli,0.35,0.23,48.28,2.15,0.12,0,0.12,0.12,0,0.58,0,0.04,0.12,0.12,14.69,62.3,3.58,61.11,0,0.08,0,0,0.92,0.23,0.23,0,46.73,45.73,2.15,1.69,26,2,4
Federico Barba,0.03,0,66.67,0.27,0,0,0.97,1.18,0,4.3,0,0.3,0,0,47.39,81.27,3.73,48.38,0,0.36,0,0,0.79,0.09,0.18,0,60.77,59.15,0.85,0.97,33,2,2
Dimitri Bisoli,0.09,0.09,61.29,1.41,0,0,2.38,0.97,0,1.09,0,1.13,0.22,0.13,44.69,73.22,11.31,29.13,0.03,0.13,0,0,1.22,0.09,0.13,0,41.67,50.26,1.63,1.66,32,2,3
Diego Farias,0.14,0.05,51.85,1.43,0.05,0,0.33,0.29,0,0,0,0.62,0.19,0.19,19.14,80.85,6.43,76.19,0,0.05,0,0,0.81,0.14,0.14,0,62.5,44,0.62,0.48,21,3,4
Stefano Turati,0,0,0,0,0,0,0.03,0.03,0,0.65,0.03,0.03,0.03,0,26.11,60.25,1.08,32.98,2.03,0.54,0.11,0.03,0.51,0.14,0.05,0,94.74,92.59,0.16,0.03,37,1,1
