Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Sean Boyd,0.4,0,28.57,1.3,0.2,0,0.8,0,0,1.3,0,0.1,0.1,0.1,13.4,50,2.4,33.33,0,0,0,0,0.3,0.2,0.4,0,47.73,45.74,1.3,1.7,10,2,4
Jonathan Afolabi,0.44,0.26,54.55,2.62,0.06,0,0.29,0.06,0,0.26,0,0.03,0.06,0.15,12.41,73.93,5.18,50,0,0.18,0,0,0.85,0.09,0.09,0,37.04,37.72,1.32,1.88,34,1,4
Ruairi Keating,0.38,0.18,51.35,2.47,0.06,0,0.41,0.29,0,0.82,0,0.18,0.12,0.09,17.91,54.35,3.74,21.62,0,0.18,0,0,1.18,0.32,0.24,0,44.35,42.66,1.18,1.35,34,2,4
Pat Hoban,0.41,0.18,35.71,2.12,0.24,0,0.24,0.06,0,0.5,0,0.15,0.15,0.18,20.5,58.11,5.35,42.59,0,0.03,0,0,0.79,0.12,0.15,0,53.9,46.15,0.91,0.88,34,3,4
Dayle Rooney,0.15,0,55.26,2.42,0.03,0,0.91,0.58,0,0.52,0,0.88,0.36,0.24,21.36,63.69,6.76,36.56,0,0.18,0,0,1.24,0.18,0.12,0,27.27,35.66,0.67,1.03,33,2,3
Connor Malley,0.09,0.06,73.58,0.73,0.03,0,1.48,0.7,0,0.52,0,0.48,0.18,0.09,37.64,82.77,10.61,70.14,0,0.18,0,0,0.94,0.12,0.18,0,56.1,57.79,1.24,1.15,33,1,3
Jason McClelland,0.17,0.09,59.26,1.26,0.04,0,0.83,0.35,0,0.22,0,0.61,0.17,0.13,13.96,71.65,4.48,47.37,0,0,0,0,0.3,0.26,0.04,0,41.18,48.15,1.04,0.43,23,2,4
Freddie Draper,0.38,0.33,52.63,3.05,0.14,0,0.48,0.1,0,0.62,0,0.38,0.24,0.14,15.43,51.85,3.9,55.56,0,0.14,0,0,0.95,0.19,0.24,0.05,32.92,34.5,1.71,2.43,21,1,4
Cameron McJannett,0.07,0,60,0.7,0.07,0,0.87,1,0,3.17,0.03,0.17,0.03,0.03,62.67,79.36,6.33,50,0,0.4,0,0,0.53,0.07,0.1,0.03,64.71,66.35,1.2,0.57,30,2,2
Matt Ward,0.33,0.33,100,1.33,0,0,0.67,0,0,0,0,0.33,0,0,4,83.33,0.67,100,0,0,0,0,0.67,0,0.33,0,100,75,0.33,0.33,3,1,3
