Name,Goals,Big chances missed,Successful dribbles %,Total shots,Headed goals,Set piece conversion %,Tackles,Interceptions,Penalty committed,Clearances,Errors lead to goal,Dribbled past,Big chances created,Assists,Total passes,Accurate passes %,Accurate final third passes,Accurate long balls %,Saves,Clean sheets,Penalties faced,Penalties saved,Goals conceded inside the box,Goals conceded outside the box,Yellow cards,Red cards,Aerial duels won %,Total duels won %,Was fouled,Fouls,Appearances,Age Range,Position
Kota Mizunuma,0.23,0.26,53.57,1.74,0.03,0,0.42,0.55,0,0.23,0,0.48,0.35,0.19,28.35,77.36,10.48,41.89,0,0,0,0,0.52,0.03,0.06,0,35,40.32,0.48,0.61,31,3,3
Hayato Araki,0.06,0.03,66.67,0.87,0.03,0,1.45,3.03,0,4.26,0,0.32,0.03,0,48.9,81.33,1.81,36.47,0,0.35,0,0,1,0.1,0.13,0,67.76,67.08,0.77,0.84,31,2,2
Naoto Kamifukumoto,0,0,0,0,0,0,0.06,0.03,0,1.68,0,0,0,0,34.81,57.18,2.1,35.14,3.19,0.26,0.1,0.03,0.74,0.26,0,0.03,100,94.44,0.13,0.03,31,3,1
Ayase Ueda,0.56,0.39,55.56,2.78,0.06,0,0.44,0.17,0,0.61,0,0.11,0.11,0.11,13.33,68.33,3.44,50,0,0.17,0,0,1,0.17,0,0,40.63,41.12,1,0.94,18,2,4
Hinata Kida,0,0,0,0,0,0,3,1,0,2,0,0,0,0,65,87.69,11,60,0,0,0,0,2,0,0,0,100,100,1,0,1,1,3
Tomoki Hayakawa,0,0,0,0,0,0,0,0.2,0,0.4,0,0.2,0,0,36.8,69.02,1.4,37.21,3.2,0.4,0.2,0,0.8,0.2,0,0,100,75,0.4,0,5,1,1
Jordy Croux,0.13,0.03,37.93,0.97,0,0,0.77,0.58,0.03,0.42,0,0.58,0.26,0.13,17.23,75.09,5.29,54.39,0,0.03,0,0,0.52,0.1,0.1,0,43.75,46.62,0.94,0.81,31,2,3
Hiroaki Okuno,0.1,0.06,32,0.81,0.03,0,2.23,2.32,0,1.13,0,0.94,0.16,0.1,35.16,82.11,6.48,52.27,0,0.19,0,0,0.9,0.13,0.03,0,50.65,58.94,2,0.65,31,3,3
Yuta Higuchi,0.06,0.06,51.85,1.09,0,0,1.56,0.94,0,0.91,0,0.88,0.16,0.25,36.13,82.7,8.75,48.65,0,0.06,0,0,0.88,0.19,0.16,0,34.38,46.75,1.03,1.34,32,2,3
Yuya Osako,0.27,0.46,46.67,2.69,0.04,0,0.38,0.19,0,0.58,0,0.15,0.23,0.08,19.77,72.57,7.5,52.94,0,0.12,0,0,0.77,0.08,0.04,0,46.6,45.91,1.27,0.81,26,3,4
Genta Miura,0,0.03,50,0.45,0,0,1.15,2.21,0.03,4.58,0,0.09,0.03,0.03,45.94,80.67,3.33,43.65,0,0.27,0,0,1.15,0.09,0.06,0,65.29,66.8,0.73,0.58,33,2,2
Takuya Iwanami,0.1,0,0,0.48,0.06,0,0.68,1.19,0,3.58,0,0.39,0.1,0.03,62.74,86.38,4.58,52.91,0,0.29,0,0,1,0.13,0.1,0,64.71,60,0.45,0.58,31,2,2
Élber,0.28,0.14,59.65,1.52,0.1,0,0.41,0.45,0,0.28,0,0.48,0.28,0.17,29.79,76.27,11.31,63.27,0,0.03,0,0,0.66,0.03,0.03,0,48.48,51.91,1.14,0.31,29,3,3
Yuki Kobayashi,0.33,0,44.44,1.11,0.11,2.78,0.78,0.44,0,0.33,0,0.89,0.33,0,38.22,84.88,12.67,68.75,0,0,0,0,0.44,0.11,0,0,41.67,46.77,1.44,0.67,9,3,3
Shogo Taniguchi,0.09,0.03,100,0.33,0.09,0,0.91,1.58,0,3.64,0.03,0.21,0.09,0.09,67.58,87.76,5.52,55.4,0,0.3,0,0,0.88,0.21,0.09,0.03,69.67,68.23,0.45,0.52,33,3,2
Andrés Iniesta,0.08,0.04,56.9,0.96,0,0,0.75,0.71,0,0.21,0,0.71,0.33,0.13,37.42,79.29,11,41.43,0,0.08,0,0,0.79,0.13,0.04,0,33.33,50,1,0.83,24,3,3
Daiki Sugioka,0,0,60.61,0.62,0,0,1.62,1.55,0.03,1.83,0,0.45,0.17,0.1,45.86,76.02,8.86,44.13,0,0.38,0,0,0.83,0.17,0.07,0.03,52.04,52.51,0.62,1.21,29,2,2
Douglas,0.4,0.2,40,2.4,0.1,0,0.6,0.3,0,0.7,0,0.2,0.1,0.1,12.6,58.73,4.4,66.67,0,0.1,0,0,0.8,0.1,0,0,54.69,54.72,1.3,0.4,10,3,4
Keigo Tsunemoto,0,0,50,0.5,0,0,2.21,2.32,0,1.96,0,0.75,0.07,0.04,35.07,73.63,8.14,37.01,0,0.29,0,0,0.82,0.11,0,0,61.9,60.82,0.93,0.71,28,2,2
